計算対象,日付,内容,金額（円）,保有金融機関,大項目,中項目,メモ,振替,ID
1,2024/01/30,Amazonプライム会費,-600,三井住友カード,日用品,hl_shop,,0,La6btA3gApiFpYeZCEiAp7k8XSDWJ29u643NBmS6mwQ
1,2024/01/30,ペイペイ*ドトールコーヒー,-390,エポスカード,食費,hl_foods,,0,VtsGF7pSKB8xz5ypQIXr651RGacizPyMro_tcXvj2Tc
1,2024/01/30,ペイペイ*ガスト,-2955,エポスカード,食費,hl_foods,,0,V6v0z2eQ3l0Z-xBJ4FSRANlR4hN3qtgQdfZaA2Iul04
1,2024/01/30,ペイペイ*ガスト,-1200,エポスカード,食費,hl_foods,,0,BU-UeRRaHpU-Nt-O4sF3Uj7CTu9YZI9o_enXwHx5zLY
1,2024/01/30,ペイペイ*サンマルクカフェ,-450,エポスカード,食費,hl_foods,,0,2fStCVlCCP0hTDVKDtAUsBVwsJaaxSn_3GZgidVkL-A
1,2024/01/30,メルカリ,-372,エポスカード,日用品,hl_shop,,0,4AlWhhHo4R7PncqdIUb7ZULGsiLoqUyfPiccr9oQnvI
1,2024/01/30,入 戸塚 出 日暮里,-824,suica chong,住宅,hl_living,,0,DgHeuByneyBN9MJykqCUWWHYg2mTcqv1UTKnU6rVAoA
1,2024/01/30,物販,-120,suica chong,食費,hl_foods,,0,F7ZQncfmhSUDb5m6ui4GzQyOYm2Z3uSeCSKIVIRKOJA
1,2024/01/30,物販,-120,suica chong,食費,hl_foods,,0,9ZSeOSNcfddbqiyDAwi5A5UDQ4K6KPnqwBUp04BviHo
1,2024/01/30,入 日暮里 出 戸塚,-824,suica chong,住宅,hl_living,,0,DBC5OqM9Ql5abwad5X1PWzO0N6hSaMCSh5AwfbWFqPs
1,2024/01/29,口座振替4 SMBC(GTNモバイ,-1785,三菱UFJ銀行,住宅,hl_living,,0,kS-opgHcy2uUXBE0OhhZerx0ORHgJDDCqBHzUPe3y6c
0,2024/01/29,口座振替4 エポスカ-ド,-936587,三菱UFJ銀行,住宅,家賃・地代,,1,QMQXru_asL8Gwe6rqf8vduqSpGxBgRWpIG0Ajky1eoA
1,2024/01/29,EP/マルマンストア 日暮里店,0,エポスカード,食費,hl_foods,,0,2sXnecqLbEVvXZ5uG1egkqKC4E9HIK2-0XGN8-dZj7s
1,2024/01/29,ペイペイ*サンマルクカフェ,-450,エポスカード,食費,hl_foods,,0,mZz6_NmEOmBpQ-C-1KcFfQinjeWaxn3mgCgKM-pDa2E
1,2024/01/29,ペイペイ*ガスト,-1200,エポスカード,食費,hl_foods,,0,x8DYksH-WHwyPDGS9-vPSNTNMDNd2RRy6HZQ5DQfVZI
1,2024/01/29,ペイペイ*エキュート,-692,エポスカード,食費,hl_foods,,0,et095_wDculu_VCIwdhQpf_ggbqOi8K-5OUeZlJn-sA
1,2024/01/29,ペイペイ*タリーズコーヒー,-669,エポスカード,食費,hl_foods,,0,n_lza6X2993PCA218bg4JiREgSlpD3CCV4SkxGuxbvQ
0,2024/01/29,モバイルSuica(Apple),-3000,三井住友カード,住宅,その他住宅,"",1,tzSdOxIIAnzPUpKejo2kT3WOAvKLju3fdxnGnEWqs94
1,2024/01/29,振込 グ-グル(ド,2,Smbc,収入,事業・副業,,0,xVfwrMRMTiApimOo6FbyfCapCOCAVazQ4IKfa_ub3JU
1,2024/01/29,メルカリ,-414,エポスカード,日用品,hl_shop,,0,4lV4BgHYJJiAspF9uuYMuXOy7OvREHsxNRLy6rnWr30
1,2024/01/29,入 戸塚 出 日暮里,-824,suica chong,住宅,hl_living,,0,5iMkki5-rqLl0CEsVKsyZpZQJwQHfbWv6AgjExIMeY4
0,2024/01/29,カード モバイル,3000,suica chong,未分類,未分類,,1,ok_DMmghGn5mUckD0Ieie6bvt-xNo97km5r2Cqc_x-E
1,2024/01/29,物販,-120,suica chong,食費,hl_foods,,0,q3YlYqg45Wuhxmz4CPRz1lnEnhJHV-6gopWBp9HHgas
1,2024/01/29,物販,-120,suica chong,食費,hl_foods,,0,jREqLFcVKDSbAIQktgwzS43VEJQOdESedfnhQcMYar8
1,2024/01/29,入 日暮里 出 戸塚,-824,suica chong,住宅,hl_living,,0,hLTl4jdf4cNb7eK2ZX8R4dXcBsKVIQ7Gq4NTuYQttLA
1,2024/01/29,入 御徒町 出 日暮里,-146,モバイルSuica (モバイルSuica ID),住宅,hl_living,,0,lymcwoPNnHE9YSg5oAkw6Eiq1mCrY2IsV-2F3KnDcmA
1,2024/01/29,入 日暮里 出 御徒町,-146,モバイルSuica (モバイルSuica ID),住宅,hl_living,,0,bY2mGBn-Kczn0q89lfHtGbmMDJwFnUuhGYZyw9yMEa0
0,2024/01/28,AMAZON.CO.JP,-760,三井住友カード,食費,その他食費,,1,isQIBQ6Afj-_n0upuTOgEAWUGjzltzW1fgWXhVxSNXA
0,2024/01/28,AMAZON.CO.JP,-350,三井住友カード,食費,その他食費,,1,LdBUsRRdr0fz6TiDAyXPTMrElb1hEzqm2FJMFy1HIqI
1,2024/01/28,ペイペイ*ケイオウアイベトナムフォーアン,-2070,エポスカード,食費,hl_foods,,0,C7rcQFcyw9yLrwovK81m0b3TT39bvxHCk7ncsU451eg
1,2024/01/28,ベビーミスト(75ml)ニールメッド 生理食塩水 スプレー 鼻洗浄 BM-75 販売: アマゾンジャパン合同会社,-760,Amazon.co.jp,日用品,hl_shop,,0,Rh6DI6ZmnFprSYGzlgug-88Qr8yxaVbZmBZKvSJiRF4
1,2024/01/28,NIHON YAKKEN 金の青汁 (R) 純国産大麦若葉 100% 青汁 (お試し / 15パック / 粉末) 抹茶風味青汁 すっきり (ビタミン/ミネラル/食物繊維) 野菜不足改善 農薬不使用栽培 (日本薬健) 販売: 日本薬健公式ストア(NIHON YAKKEN),-350,Amazon.co.jp,食費,hl_foods,,0,7TO6_e73man1VOI_96QmZHOHiNZjNF4SSYgVX4939eU
1,2024/01/27,ペイペイ*カクヤス,-1402,エポスカード,食費,hl_foods,,0,Av9bMus1dCrFt-iMskvpFpVfR1ayhTVm4QL9GPahD5I
1,2024/01/27,ペイペイ*タリーズコーヒー,-669,エポスカード,食費,hl_foods,,0,pvNs67O4H_2RsHDk9lxiIu69TZBdd0TC9HZpVjlD6e8
1,2024/01/27,ペイペイ*デニーズ,-4582,エポスカード,食費,hl_foods,"",0,UE2iwl16mAO6SBel3mM6Ukq0qymZRb6kK_REMXPjeB0
1,2024/01/27,EP/マルマンストア 日暮里店,0,エポスカード,食費,hl_foods,,0,bzyhY0PjhecT9oZmhM47qyYPDF4krkdwKuAkjREhmZ0
1,2024/01/27,メルカリ,-50000,エポスカード,日用品,hl_shop,,0,QDBgktqYfYXcuo7o3Io_GsQZCg1EgrIwH7zEn8mcZhU
1,2024/01/26,口座振替4 SMFS(クオ-ク,-8782,三菱UFJ銀行,教養・教育,hl_selfde,"",0,kjVR2XCago9FhIKRJDXq4EAZ9v31XmNksxbp92ddWFQ
0,2024/01/26,口座振替3 ミツイスミトモカ-ド,-204386,三菱UFJ銀行,現金・カード,カード引き落とし,,1,hdSh35Xd1AchouDlkou57kRL4RU2-6RUC_7b9duz3aI
0,2024/01/26,AMAZON.CO.JP,-685,三井住友カード,食費,その他食費,,1,O6N-aNZ5wSPpCKR4PfqrDBu3eFZhqhOzLbMXyQfA2sg
1,2024/01/26,ペイペイ*カクヤス,-1155,エポスカード,食費,hl_foods,,0,RWowIImR0XgdvdWKdSpc81u7jSdAI8E8nLfzFNdEu8g
1,2024/01/26,ペイペイ*ローソン,-1105,エポスカード,食費,hl_foods,,0,s22ZhY9n1r-17Yt9YEGtYh9u4vS-jKbZMtqIjEwq5YQ
1,2024/01/26,ペイペイ*ダイソー,-4722,エポスカード,日用品,hl_shop,,0,s81fQkl8-RAy6oXqA784VPIrfXxjPPx5A4IY6S0dlEU
1,2024/01/26,ペイペイ*ローソン,-757,エポスカード,食費,hl_foods,,0,BNHIQQLVWStXclRJgn5ErQceyASExbMoCScHkf4W_vc
1,2024/01/26,ペイペイ*エキュート,-736,エポスカード,食費,hl_foods,,0,7rCnRZFiUV9BTt14bVFUWuLTWlQq9pb6_5nCC7bPgWE
1,2024/01/26,メルカリシヨツプス,-497,エポスカード,日用品,hl_shop,,0,40lLpUdRk8jUrq6eabrY0SI-XkgTSWuTjkuO2LI6BCQ
1,2024/01/26,"Compatible with iPhone 12 mini glass film with guide frame, 5.4 inch fingerprint prevention [2 x film + 2 x lens protection film + 1 guide frame] Japanese Asahi Glass material Apple iPhone12mini thin 販売: xiaoluoluo",-699,Amazon.co.jp,日用品,hl_shop,"",0,TJ5T51jM-fYpf_aOl7giCZjDExOz80u5kstsp5o-Rd0
1,2024/01/26,割引,14,Amazon.co.jp,収入,ポイント,,0,hbhNYqRVWLJk8DOO-x87G0zCnjW-dWdloL1tJd9BerY
1,2024/01/26,入 大崎 出 日暮里,-208,モバイルSuica (モバイルSuica ID),住宅,hl_living,,0,t1EitqP63EYyypTjpP_AB1pdcXZcwqbyCcx9w3zZlKU
1,2024/01/26,物販,-1400,モバイルSuica (モバイルSuica ID),食費,hl_foods,,0,3m3cIPC_bmenR-t_rmqhCUPam-5aGUd0P8Dr-1za1Xs
1,2024/01/26,入 日暮里 出 大崎,-208,モバイルSuica (モバイルSuica ID),住宅,hl_living,,0,WolVnoz8kKNbNVNwgpUQgBsLTAvtEJKHFTZOye-ibeY
0,2024/01/25,EP/マルマンストア 日暮里店,0,エポスカード,食費,その他食費,,1,6uebap3jtBEWvb591lac0qxhoism3Qaqgj9xH-qD5Bs
1,2024/01/25,freee,-1628,三井住友カード,税・社会保障,hl_bussi,"",0,OxUSnxP6o43Jmc7d2UPPgqorjwTYxQKk7e1Me91fAxU
0,2024/01/25,モバイルSuica(Apple),-3000,三井住友カード,住宅,その他住宅,"",1,bAKXPcXYVGwNH6iczdtSf4-kCDT2mAQNCssM62Ak0Q8
1,2024/01/25,ペイペイ*ケイオウアイベトナムフォーアン,-3000,エポスカード,食費,hl_foods,,0,F30Qu1MDC366JU-rwdJ3VrEWqQubp_MKV_j7-rcvQnY
1,2024/01/25,カブシキガイシヤポピンズシツタ,-9204,エポスカード,税・社会保障,hl_bussi,"",0,ryZxslyVKMNVUFvK1or1CxLPC9vVI6UBL73bSg0zl9k
1,2024/01/25,スケーター (skater) 水筒 ストロー付き 530ml ミッキーマウス & フレンズ クッキング ストロー水筒 ワンプッシュ 子供用 PDSH6DX-A 販売: アマゾンジャパン合同会社,-1473,Amazon.co.jp,日用品,hl_shop,"",0,SFrPjNNcD8jFfCiuzL3y9-XbWcFjsw6wCXy-p5v5MCM
1,2024/01/25,Amazonポイント,1473,Amazon.co.jp,収入,ポイント,,0,9q5_AquapqEynA1wv3XOET1mNWIuTUWLe1OEK4WF7nw
1,2024/01/25,入 戸塚 出 日暮里,-824,suica chong,住宅,hl_living,,0,0QOPcFK16ah2y4SHsLdZZVL4luiJWyQP9GniyNtWpkw
