計算対象,日付,内容,金額（円）,保有金融機関,大項目,中項目,メモ,振替,ID
1,2023/01/30,上野マルイ,0,エポスカード,日用品,hl_shop,,0,i_J2OE9ZeYKxotGabwyIig
1,2023/01/30,EP/マルマンストア 日暮里店,0,エポスカード,食費,hl_foods,"",0,ED4_-xRCJFBFDVo5SYMfvw
1,2023/01/30,Amazonプライム会費,-500,三井住友カード,日用品,hl_shop,,0,Jro88lxHejoX8ilanN0-Rw
1,2023/01/30,ペイペイ*ハノイフード,-1920,エポスカード,食費,hl_foods,,0,csJ1EfkQNctokliEX5Lhqg
1,2023/01/30,ペイペイ*カクヤス,-3566,エポスカード,食費,hl_foods,"",0,ur8C9ULurOocJ2U3IgYMQg
1,2023/01/30,振込 アラカワクコソダテトクベツキユウフキン,10000,Smbc,収入,子育て手当,"",0,w3SB_ElJ-3NRFcduIF5jdA
0,2023/01/30,カード (647),-480000,Smbc,現金・カード,ATM引き出し,,1,rXKU7Hr5_zAP_x-_Dxb9MA
1,2023/01/30,入 上野 出 日暮里,-136,モバイルSuica (モバイルSuica ID),住宅,hl_living,,0,R_oH4zd14hHQuZ_DO8ZyBg
1,2023/01/30,物販,-685,モバイルSuica (モバイルSuica ID),食費,hl_foods,,0,kZI3dpKJ2KG0mzBe6pJCLg
1,2023/01/30,入 末広町 出 地 上野,-168,モバイルSuica (モバイルSuica ID),住宅,hl_living,"",0,8eXrSvjrt23IML3Hs9ZMZw
1,2023/01/30,物販,-1650,モバイルSuica (モバイルSuica ID),食費,hl_foods,,0,0E-q-g2EfIHv9JDGVQrMEA
1,2023/01/30,入 地 上野 出 末広町,-168,モバイルSuica (モバイルSuica ID),住宅,hl_living,"",0,Ojp_9zwN_HPP7vUcXMTgjg
1,2023/01/30,入 日暮里 出 上野,-136,モバイルSuica (モバイルSuica ID),住宅,hl_living,,0,DBkMt5FDJMTcbKXGWXLQEg
0,2023/01/29,モバイルSuica(Apple),-3000,三井住友カード,住宅,その他住宅,,1,v1g7nIMseBrYgYziDXUeCg
1,2023/01/29,ペイペイ*ココイチバンヤ,-2088,エポスカード,食費,hl_foods,,0,Nd35FZSktDkfuA7-P4RP0A
0,2023/01/29,AP/モバイルスイカ(アツプルヴイ),-5000,エポスカード,現金・カード,電子マネー,,1,dxJsMj2Zp9AYdpAQ-vFTZg
1,2023/01/29,入 KS空港2 出 京成日暮,-1257,モバイルSuica (モバイルSuica ID),住宅,hl_living,"",0,X3vHWlLWKl2KvNlKUVUJSA
0,2023/01/29,カード モバイル,5000,モバイルSuica (モバイルSuica ID),未分類,未分類,,1,eaMCBiL3f96zIcQ_TMF2lQ
1,2023/01/29,物販,-2196,suica chong,食費,hl_foods,,0,geXpy2BXMWx5Qn5VMn70FA
1,2023/01/29,入 KS空港2 出 京成日暮,-1257,suica chong,住宅,hl_living,,0,Jrgt2CnrCLYRMm_SNwq9jA
0,2023/01/29,カード モバイル,3000,suica chong,未分類,未分類,,1,vp-_tu9LQdLO0tvIoZzelw
1,2023/01/27,口座振替4 AP(GTNMOBILE,-2180,三菱UFJ銀行,住宅,hl_living,,0,W19mbygwU_u2BqLW_89Dxg
0,2023/01/27,口座振替4 エポスカ-ド,-334159,三菱UFJ銀行,住宅,家賃・地代,,1,IS39mWiZphyieSmua_hfhA
1,2023/01/26,口座振替4 SMFS(クオ-ク,-8782,三菱UFJ銀行,教養・教育,hl_selfde,,0,bSj6DIwI1pNEwu64F9xX2Q
0,2023/01/26,口座振替3 ミツイスミトモカ-ド,-188017,三菱UFJ銀行,現金・カード,カード引き落とし,,1,Ik9QkheycD23qyc9pVNWRg
1,2023/01/24,APPLE COM BILL,-4340,エポスカード,教養・教育,hl_selfde,,0,oLkU2J3zXAe4NCWXbAHcnQ
1,2023/01/24,APPLE COM BILL,-400,エポスカード,教養・教育,hl_selfde,,0,CzZPf9dWn0DCWduuApqFFA
1,2023/01/23,PAYPAL *GOOGLE GOOGLE,-380,エポスカード,教養・教育,hl_selfde,,0,RldlVzMGbgF75OnLhr7ygQ
1,2023/01/23,カンリヒ,-35750,Smbc,住宅,hl_living,,0,nB-i1vlCZjCsB7OiSnd1EQ
1,2023/01/23,振込 グ-グル(ド,859133,Smbc,収入,事業・副業,"",0,3BgWGH1WcfqmSdZjT_tHTw
0,2023/01/20,Amazon Downloads,-980,三井住友カード,日用品,その他日用品,,1,iP_UyOJTo9TRD5VXTfn_Sw
1,2023/01/20,給料振込 カ)デンツウデジタル,281398,Smbc,収入,給与,,0,gFDIYNT2V8Z8AHWuqQN3bQ
1,2023/01/20,Kindle Unlimited 販売: Amazon Services International LLC,-980,Amazon.co.jp,教養・教育,hl_selfde,"",0,wPeDtDPDVJX_hm9NRj3ivg
1,2023/01/19,東京都水道局(継続),-4096,エポスカード,住宅,hl_living,,0,P1nhBQtJPp0aL_xQ0xPNzg
1,2023/01/14,スポ-ツクラブナス カイヒ,-10450,エポスカード,衣服・美容,hl_beahea,,0,08mZ9s291MHb-ghb4tnFdg
1,2023/01/12,ST*カフエト-ク,-21340,エポスカード,教養・教育,hl_selfde,,0,KeEVNmb94c7U5xe3Bnm_bQ
1,2023/01/12,ラクテンモバイルツウシンリョウ,-2180,エポスカード,住宅,hl_living,,0,frZD5-zytPUqYZ27Eo-rcw
1,2023/01/11,口座振替 RTK メルペイ,-6200,三菱UFJ銀行,日用品,hl_shop,"",0,2lNRaRX2qLqKuvrgEN6d1Q
1,2023/01/11,PAYPAL *CURBONJP,-2000,エポスカード,教養・教育,hl_selfde,"",0,BqvEfQyUrtbJagVHWLDY4Q
1,2023/01/07,ソニ-ネツトワ-クコミユニケ-シヨンズ,-2750,エポスカード,住宅,hl_living,,0,NpzUNGxHnuLinZA5rt-3aw
0,2023/01/06,振込1 レ テイ トウ ハ,490000,三菱UFJ銀行,未分類,未分類,,1,emHHphP4dqWhQrgmt-K1WQ
0,2023/01/06,パソコン振込 レ テイ トウ ハ,-490000,Smbc,現金・カード,ATM引き出し,,1,IG_LmVsrI6k7r8e0t1vFBg
1,2023/01/06,振込手数料,-330,Smbc,日用品,hl_shop,,0,N6nfQHf0Bvb81RBXiuGibg
1,2023/01/06,APPLE COM BILL,-10800,エポスカード,教養・教育,hl_selfde,,0,ebEbO3BufHuRwZag2aqRAg
1,2023/01/06,PAYPAL *ST. ACADEMY,-1600,エポスカード,教養・教育,hl_selfde,,0,RVXu8XXyrl4XgtouSvv1Iw
1,2023/01/06,PAYPAL *ST. ACADEMY,-1000,エポスカード,教養・教育,hl_selfde,,0,J6JgvmUiCBcPnIkHjgWd1Q
1,2023/01/06,カブシキガイシヤポピンズシツタ,-7275,エポスカード,教養・教育,hl_selfde,,0,HjM2WP2Y9XS7j1XSeJC5QA
1,2023/01/06,PAYPAL *ST. ACADEMY,-2000,エポスカード,教養・教育,hl_selfde,,0,m2cPQvGb4KYcqI0AfOE6Ug
1,2023/01/06,PAYPAL *ST. ACADEMY,-2185,エポスカード,教養・教育,hl_selfde,,0,BDpV1EaLK4Ze6WVRwa_0dg
1,2023/01/06,PAYPAL *ST. ACADEMY,-1500,エポスカード,教養・教育,hl_selfde,,0,RoElptPZ37qVVsc31GjouQ
1,2023/01/06,東京電力,-25018,エポスカード,住宅,hl_living,,0,xbJe_FhOQVv56Ak6hyB7jQ
1,2023/01/06,PAYPAL *ST. ACADEMY,2000,エポスカード,収入,返金,"",0,2aguqifp7ensk6hT4uiGkw
1,2023/01/05,Amazon Downloads (返品),74,三井住友カード,収入,返金,,0,f3d4rpdSdclLbnUZwM4fPg
1,2023/01/04,ローンご返済,-23067,Smbc,住宅,hl_living,,0,zITPsQDebXUEvGKqiJwkIQ
1,2023/01/04,ローンご返済,-54250,Smbc,住宅,hl_living,,0,krSHwREY9aKX4i1jnEqYig
1,2023/01/04,アラカワクホイクリヨウ   トコウキン,-23600,Smbc,特別な支出,hl_kidsle,"",0,iWrWqMZrD9mPBe7OPmlNjQ
1,2023/01/03,りぼん,-20000,Smbc,保険,hl_insav,"",0,tamiJYLaGxoo0xMuMMsYVQ
